"*Beginning for the 2015-16 season, reports from public health and clinical laboratories are presented separately in the weekly influenza update, FluView.  This data file includes only data prior to the 2015-16 influenza season, and will be presented with the public health and clinical labs combined."
REGION TYPE,REGION,YEAR,WEEK,TOTAL SPECIMENS,PERCENT POSITIVE,A (2009 H1N1),A (H1),A (H3),A (Subtyping not Performed),A (Unable to Subtype),B,H3N2v,A (H5)
National,X,2010,40,3600,2.13889,7,0,18,29,0,23,0,0
National,X,2010,41,4006,3.19521,13,0,36,43,0,36,0,0
National,X,2010,42,4112,3.38035,8,0,35,51,0,45,0,0
National,X,2010,43,4240,3.91509,13,0,56,45,0,52,0,0
National,X,2010,44,4608,5.36024,12,0,61,68,0,106,0,0
National,X,2010,45,5377,6.50921,15,0,79,93,0,163,0,0
National,X,2010,46,5578,8.73073,23,0,123,104,0,237,0,0
National,X,2010,47,5533,10.6091,11,0,155,156,0,265,0,0
National,X,2010,48,5975,9.99163,35,0,176,126,0,260,0,0
National,X,2010,49,6361,13.2526,48,0,359,126,0,310,0,0
National,X,2010,50,7692,18.8508,83,0,551,274,0,542,0,0
National,X,2010,51,8172,25.0367,112,0,789,456,0,689,0,0
National,X,2010,52,9030,26.268,197,0,1015,512,0,648,0,0
National,X,2011,1,10441,25.17,346,0,1159,551,0,572,0,0
National,X,2011,2,10190,29.2836,557,0,1216,626,0,585,0,0
National,X,2011,3,11067,33.5231,832,0,1437,700,0,741,0,0
National,X,2011,4,12950,34.3398,1074,0,1524,877,0,972,0,0
National,X,2011,5,13875,35.4018,1231,0,1481,1073,0,1127,0,0
National,X,2011,6,14647,34.6624,1267,0,1488,1145,0,1177,0,0
National,X,2011,7,16401,34.8515,1432,0,1570,1360,0,1354,0,0
National,X,2011,8,15033,30.9785,1170,0,1235,1048,0,1204,0,0
National,X,2011,9,12990,27.5058,954,0,997,738,0,884,0,0
National,X,2011,10,11625,23.7935,714,0,858,503,0,691,0,0
National,X,2011,11,9860,20.284,457,0,609,371,0,563,0,0
National,X,2011,12,8443,16.1199,264,0,426,265,0,406,0,0
National,X,2011,13,7107,12.8043,168,0,283,166,0,293,0,0
National,X,2011,14,6481,9.8133,87,0,208,87,0,254,0,0
National,X,2011,15,5615,7.12378,46,0,141,54,0,159,0,0
National,X,2011,16,4642,4.4162,30,0,60,29,0,86,0,0
National,X,2011,17,3976,3.34507,10,0,28,32,0,63,0,0
National,X,2011,18,3611,1.91083,11,0,23,10,0,25,0,0
National,X,2011,19,3271,1.10058,2,0,11,8,0,15,0,0
